"name","filetype","language","release_year","category"
"32aam Adhyayam 23aam Vaakyam","MP4","Malayalam",2015,
"KL 10 Pathu","MKV","Malayalam",2015,
"Love 24 x 7","MKV","Malayalam",2015,
"Nirnayakam","MKV","Malayalam",2015,
"Samrajyam 2 - Son of Alexander","MKV","Malayalam",2015,
"Amara Kaaviyam","AVI","Tamil",2014,
"Idhu Enna Maayam","MKV","Tamil",2015,
"Isai","MKV","Tamil",2015,
"Papanasam","MKV","Tamil",2015,
"Pisasu","MP4","Tamil",2014,
"Rajathandhiram","MKV","Tamil",2015,
"Thirumanam Enum Nikkah","MP4","Tamil",2014,
"Bahubali","MKV","Hindi",2015,
"Dil Dhadakne Do","MKV","Hindi",2015,
"Hot.Pursuit","AVI","English",2015,
"Minions","AVI","English",2015,
